id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,month/year
2285496,Hidden Paradise in Christchurch,11588389,Ting,Christchurch City,Banks Peninsula Ward,-43.60587407545263,172.6942335116394,Entire home/apt,756.0,2.0,98,2026-03-03,3.27,1,206,30,,2026-03
2352051,Luxury Cass Bay Retreat (A),10339399,Vivienne,Christchurch City,Banks Peninsula Ward,-43.60364,172.6954,Entire home/apt,229.0,1.0,202,2026-03-04,1.38,3,310,37,,2026-03
2723640,Tranquillity with city views at The Bothy,13938410,Jen,Christchurch City,Cashmere Ward,-43.5716,172.63094,Entire home/apt,264.0,1.0,205,2026-03-16,1.43,15,357,4,,2026-03
3115193,Beautiful Entire Home Overlooking Harbour,729315,Linda Jean,Christchurch City,Banks Peninsula Ward,-43.59760284423828,172.7147979736328,Entire home/apt,40.0,3.0,6,2025-01-06,0.06,1,130,0,,2025-01
3363429,A Perfect Stay - Last Minute Specials: 3br+Garage,16967897,Joan,Christchurch City,Riccarton Ward,-43.52992630004883,172.60997009277344,Entire home/apt,229.0,2.0,384,2026-03-19,2.71,2,22,59,,2026-03
3498611,"Sunny Bayview Studio - Charteris Bay, Canterbury",17615479,Felicia,Christchurch City,Banks Peninsula Ward,-43.63553,172.7195,Entire home/apt,200.0,1.0,45,2026-02-06,0.33,1,223,3,,2026-02
3533315,Rose Cottage at The Elms,17788647,Louise,Christchurch City,Harewood Ward,-43.48401,172.56094,Entire home/apt,297.0,2.0,7,2025-02-01,0.05,1,324,0,,2025-02
3852863,Tipi in the Garden,12996972,Jane,Christchurch City,Banks Peninsula Ward,-43.7876,172.81902,Private room,89.0,2.0,49,2025-12-29,0.44,6,160,1,,2025-12
3852872,Yurt in the Garden,12996972,Jane,Christchurch City,Banks Peninsula Ward,-43.78759,172.81975,Private room,89.0,1.0,135,2026-02-25,0.98,6,160,5,,2026-02
3853118,Yurt in the Woods -FREE craft workshops*,12996972,Jane,Christchurch City,Banks Peninsula Ward,-43.78643,172.81997,Private room,92.0,2.0,60,2026-02-24,0.54,6,154,5,,2026-02
3900685,"Views Hills + Beach, warm double rooms available",20198799,Michael,Christchurch City,Banks Peninsula Ward,-43.60344,172.6901,Private room,168.0,1.0,100,2026-03-07,0.74,2,324,23,,2026-03
4063028,The Pool Studio,21073822,Sue And Greg,Christchurch City,Harewood Ward,-43.47764,172.5668,Entire home/apt,300.0,1.0,33,2025-11-15,0.24,2,230,1,,2025-11
4121687,Contemporary living by the sea.,21308288,Sandy,Christchurch City,Heathcote Ward,-43.5664,172.73825,Private room,120.0,1.0,170,2026-02-14,1.22,1,358,5,,2026-02
4144718,Lovely breakfast best views. 2 double rooms +,20198799,Michael,Christchurch City,Banks Peninsula Ward,-43.60281,172.68887,Private room,200.0,2.0,78,2026-02-06,0.56,2,359,2,,2026-02
4210947,Sunnybrae Bed & Breakfast,18848246,Jenny & Tony,Christchurch City,Banks Peninsula Ward,-43.784,172.90277,Private room,,2.0,115,2026-01-10,0.85,1,0,6,,2026-01
4394839,Lovely Sunny En-Suite Home,22664885,Spark & Angela,Christchurch City,Spreydon Ward,-43.55145,172.60179,Private room,77.0,1.0,1139,2026-03-16,8.21,1,39,44,,2026-03
4596246,Harbour View Highlights,18542986,Megan,Christchurch City,Banks Peninsula Ward,-43.607941489520215,172.70360517763766,Entire home/apt,225.0,3.0,32,2026-02-21,0.32,2,306,22,,2026-02
4680718,Apartment near Hagley Park with Secure Entry,24205506,"Mayie, Judi And Karen At Bookahome",Christchurch City,Fendalton Ward,-43.52105,172.62268,Entire home/apt,198.0,2.0,71,2025-11-05,0.52,83,284,5,,2025-11
4711783,Takamatua Lavender Loft,24350479,Rebecca,Christchurch City,Banks Peninsula Ward,-43.7841,172.97777,Entire home/apt,194.0,2.0,78,2026-03-08,1.61,2,365,16,,2026-03
4776863,Beach Break,5156035,Phyllis,Christchurch City,Coastal Ward,-43.52628,172.73449,Entire home/apt,,2.0,22,2024-03-27,0.18,3,0,0,,2024-03
5040124,3 Bedroom Home - Central Location,26021220,Rosanna,Christchurch City,Cashmere Ward,-43.55625,172.62941,Entire home/apt,177.0,5.0,160,2025-04-21,1.18,1,200,1,,2025-04
5161047,"Best Views, Brilliant Coffee, no cleaning fee.",10627780,Veronica Mary,Christchurch City,Cashmere Ward,-43.57472,172.63431,Private room,126.0,2.0,29,2026-03-02,0.23,1,241,6,,2026-03
5270312,"Double room in Mt Pleasant, Christchurch",21560467,Ellen,Christchurch City,Heathcote Ward,-43.56124,172.71569,Private room,101.0,1.0,65,2026-02-21,0.57,1,358,11,,2026-02
5336437,Modern Accommodation with sea views,27654727,Jill,Christchurch City,Heathcote Ward,-43.56553,172.7297,Private room,135.0,2.0,81,2024-03-26,0.6,1,273,0,,2024-03
5385328,Tranquil and relaxing Lavender Studio,24350479,Rebecca,Christchurch City,Banks Peninsula Ward,-43.78376,172.97608,Entire home/apt,240.0,2.0,164,2026-03-08,1.22,2,357,13,,2026-03
5459948,Beautiful historic cottage,28321790,Janette,Christchurch City,Banks Peninsula Ward,-43.60187,172.71958,Private room,145.0,1.0,0,,,1,280,0,,
5738538,Akaroa Coastal Studio,26183903,Jenny & John,Christchurch City,Banks Peninsula Ward,-43.82883,172.94328,Private room,210.0,1.0,706,2026-03-08,5.39,1,303,83,,2026-03
5739354,Modern self contained unit,29133056,Nadia,Christchurch City,Banks Peninsula Ward,-43.59799,172.71911,Private room,309.0,1.0,8,2026-02-28,0.32,1,269,6,,2026-02
5752166,Chic Private Studio 6mins from Airport & shops/bus,28774099,Liz,Christchurch City,Harewood Ward,-43.48641586303711,172.58523559570312,Entire home/apt,139.0,1.0,529,2026-03-15,10.24,3,243,48,,2026-03
5787709,The Velvet Suite,21073822,Sue And Greg,Christchurch City,Harewood Ward,-43.47665,172.56715,Entire home/apt,325.0,1.0,28,2026-02-06,0.21,2,243,4,,2026-02
5936861,Your own Eco friendly bedroom + lounge unit,30825105,Shaun And Vanessa,Christchurch City,Banks Peninsula Ward,-43.76285,172.80538,Entire home/apt,172.0,1.0,400,2026-03-14,3.16,2,337,35,,2026-03
6111519,"Close to airport, quiet double bedroom upstairs",13171208,Ellis,Christchurch City,Harewood Ward,-43.48177,172.58516,Private room,75.0,2.0,21,2026-02-27,0.16,2,153,11,,2026-02
6363082,Clean modern house in Riccarton,33152465,Ian,Christchurch City,Riccarton Ward,-43.53668,172.58282,Private room,108.0,2.0,82,2026-03-08,0.62,1,323,13,,2026-03
6467168,lazy porch studio,33781654,Lou,Christchurch City,Linwood Ward,-43.54546,172.67745,Entire home/apt,131.0,1.0,1542,2026-03-17,11.8,1,302,143,,2026-03
6695894,Beach Front Apartment,15913354,Chris,Christchurch City,Heathcote Ward,-43.56989,172.75997,Entire home/apt,364.0,4.0,20,2026-03-02,0.55,1,175,7,,2026-03
6824533,Papanui Paris Inspired Apartment,35747651,Heather,Christchurch City,Fendalton Ward,-43.50956,172.60341,Entire home/apt,153.0,2.0,286,2025-12-12,2.5,1,342,6,,2025-12
6903489,"Character villa, fully furnished",29970846,Nick,Christchurch City,Linwood Ward,-43.54077,172.66434,Entire home/apt,91.0,60.0,8,2026-03-09,0.06,3,1,1,,2026-03
7715869,Spacious stylish home - 7 Night special deals,24205506,"Mayie, Judi And Karen At Bookahome",Christchurch City,Riccarton Ward,-43.5309,172.60518,Entire home/apt,607.0,2.0,143,2026-02-26,1.13,83,34,9,,2026-02
7748377,Manor Cottage and Kowhai Room,39214866,Leah,Christchurch City,Papanui Ward,-43.50015,172.58851,Entire home/apt,204.0,2.0,92,2026-03-17,0.71,2,282,4,,2026-03
7878124,Entwhistle Cottage  - central city,41527093,Karen,Christchurch City,Central Ward,-43.5275,172.64771,Entire home/apt,212.0,2.0,355,2025-04-27,2.77,5,73,7,,2025-04
8020834,"Sunny bedroom in warm, quiet home",42353024,Danielle,Christchurch City,Cashmere Ward,-43.56867,172.64398,Private room,62.0,2.0,95,2026-03-17,0.74,3,219,21,,2026-03
8034246,Serene garden studio with spa near beach and city,42420923,Kim,Christchurch City,Coastal Ward,-43.51225,172.73015,Entire home/apt,155.0,1.0,260,2026-03-14,8.31,1,56,70,,2026-03
8144885,Cass Bay House,10339399,Vivienne,Christchurch City,Banks Peninsula Ward,-43.60461,172.6948,Entire home/apt,514.0,5.0,16,2025-10-23,0.22,3,107,1,,2025-10
8463513,City Centre 5 Bedroom Group Accommodation,43226526,Janine,Christchurch City,Linwood Ward,-43.53587,172.66089,Entire home/apt,300.0,2.0,59,2026-02-28,0.46,5,360,1,,2026-02
8472935,Rooms with a view in Christchurch,44620039,Carol,Christchurch City,Cashmere Ward,-43.58063,172.63356,Entire home/apt,131.0,2.0,165,2026-02-28,1.29,1,53,6,,2026-02
8476352,cozycozy guest house,22181030,Flora,Christchurch City,Hornby Ward,-43.53458,172.5513,Private room,94.0,1.0,28,2026-01-26,0.23,2,358,4,,2026-01
8476612,Kereru holiday home - Le Bons Bay,1868108,Anna,Christchurch City,Banks Peninsula Ward,-43.74045,173.09303,Entire home/apt,328.0,1.0,38,2025-12-30,1.24,1,340,8,,2025-12
8493225,Studio Unit,44728588,Anita Marie,Christchurch City,Papanui Ward,-43.48535,172.61728,Hotel room,195.0,1.0,5,2024-11-08,0.04,6,334,0,,2024-11
8554890,Potters Croft Garden and B&B,45031191,Jocelyn,Christchurch City,Banks Peninsula Ward,-43.7999,172.97557,Entire home/apt,229.0,2.0,274,2026-03-13,2.16,1,346,30,,2026-03
8815440,Manor Cottage,39214866,Leah,Christchurch City,Fendalton Ward,-43.50156,172.58867,Entire home/apt,173.0,2.0,86,2026-03-08,0.68,2,282,11,,2026-03
8846958,Central Christchurch Cottage,11083016,James,Christchurch City,Central Ward,-43.53261,172.649,Entire home/apt,161.0,2.0,174,2026-03-07,1.39,6,328,16,,2026-03
8969670,é½å¸åºå­--æé¹å­,46874226,Jielian,Christchurch City,Harewood Ward,-43.46835,172.59309,Private room,255.0,2.0,1,2026-02-21,1.0,1,363,1,,2026-02
9189593,"Modern, 3bdrm Apartment - Close to City Centre",47808157,Wayne,Christchurch City,Fendalton Ward,-43.5158,172.6248,Entire home/apt,662.0,1.0,89,2025-07-16,0.7,3,307,1,,2025-07
9235519,"Lovely, sunny 2 bedrooms, 1 block to Sumner beach.",37373022,Sharon,Christchurch City,Heathcote Ward,-43.57386,172.76726,Private room,206.0,1.0,78,2026-03-08,0.88,1,144,8,,2026-03
9392387,Birdsong Lodge,47575189,Tanya,Christchurch City,Banks Peninsula Ward,-43.7263,172.78377,Entire home/apt,394.0,2.0,294,2026-03-14,2.36,1,314,12,,2026-03
9638026,"Amazing Sea views, self-contained. Christchurch",21226430,Siobhan,Christchurch City,Heathcote Ward,-43.56566,172.72121,Entire home/apt,270.0,14.0,123,2026-01-01,1.13,1,89,6,,2026-01
9682036,Koromiko Farm Stay @ Loch Sloy Farm Little River,42799059,Rob,Christchurch City,Banks Peninsula Ward,-43.781,172.78958,Entire home/apt,325.0,1.0,234,2026-03-06,1.92,2,2,24,,2026-03
9700667,Karl Popper Retreat,20309792,Michael,Christchurch City,Cashmere Ward,-43.57696,172.6309,Entire home/apt,194.0,1.0,159,2026-03-09,1.3,1,324,5,,2026-03
9734677,"Spacious bedroom, en suit and patio",50228570,Mark,Christchurch City,Banks Peninsula Ward,-43.67916,172.65324,Private room,105.0,2.0,5,2017-02-15,0.04,1,361,0,,2017-02
9845550,New Lease of Life for Unit 8,50694865,Hotel,Christchurch City,Fendalton Ward,-43.520267,172.626251,Entire home/apt,224.0,1.0,168,2026-02-27,1.36,11,351,2,,2026-02
10176247,Stylish 2 Bed Guest Wing near Airport inc Netflix,25471419,Cheryl,Christchurch City,Fendalton Ward,-43.51817,172.59099,Private room,126.0,1.0,314,2026-03-09,2.54,2,241,25,,2026-03
10235867,Moncks bay retreat,8558995,Judith,Christchurch City,Heathcote Ward,-43.56726,172.74426,Private room,100.0,2.0,40,2026-03-03,0.53,3,143,5,,2026-03
10282667,Brickledown Cottage in Central location......,52886843,Jo,Christchurch City,Central Ward,-43.53154,172.65214,Entire home/apt,263.0,2.0,450,2026-03-15,3.65,1,243,53,,2026-03
10283682,Akaroa Cottage,52894210,Annette,Christchurch City,Banks Peninsula Ward,-43.79935,172.97332,Entire home/apt,200.0,1.0,310,2026-03-14,2.51,1,275,25,,2026-03
10339095,"Magnolia Cottage Boutique BnB
- Private Suite -",53205819,Julie,Christchurch City,Banks Peninsula Ward,-43.62882,172.7397,Private room,194.0,1.0,56,2026-02-17,0.49,1,27,3,,2026-02
10342831,"Self-Contained Studio 
| 10 min to City + Parking",53230965,Ailsa,Christchurch City,Cashmere Ward,-43.56417,172.65503,Entire home/apt,95.0,1.0,610,2026-03-10,4.94,1,171,61,,2026-03
10528665,Rose Cottage. Central City.,54292480,Rose,Christchurch City,Central Ward,-43.52647,172.64719,Entire home/apt,263.0,1.0,411,2026-03-04,3.35,1,274,53,,2026-03
10792884,Vintage charm - 1930s Home with Luxe Bedding,52334730,Sutza,Christchurch City,Cashmere Ward,-43.56710052490234,172.6211395263672,Entire home/apt,171.0,2.0,297,2026-03-14,2.44,1,252,27,,2026-03
10910045,Room with a View to the Mountains,32636421,Karyn,Christchurch City,Cashmere Ward,-43.56814,172.64783,Private room,149.0,2.0,15,2026-03-02,0.13,3,364,2,,2026-03
10973248,Rivendell Cottage in Christchurch CBD,56932783,Pam,Christchurch City,Central Ward,-43.5271,172.64739,Private room,143.0,2.0,126,2026-03-15,1.44,1,149,20,,2026-03
11104969,Pool House - Peaceful Sun Trap,57677232,Richard,Christchurch City,Heathcote Ward,-43.5597,172.66637,Entire home/apt,169.0,2.0,65,2026-03-01,0.53,1,179,4,,2026-03
11325254,Great Views on Cashmere hills.,44327253,Benjamin,Christchurch City,Cashmere Ward,-43.57474,172.63415,Entire home/apt,,7.0,7,2026-01-14,0.06,1,3,1,,2026-01
11326368,Recently Renovated Two Bedroom Unit near the Park,50694865,Hotel,Christchurch City,Fendalton Ward,-43.520267,172.626251,Entire home/apt,403.0,1.0,120,2023-02-04,0.98,11,340,0,,2023-02
11419685,Cave Rock Guest House - studio apartment,59970552,Gayle,Christchurch City,Heathcote Ward,-43.56648,172.75864,Entire home/apt,194.0,1.0,70,2026-03-13,0.59,2,197,16,,2026-03
11529335,Merivale Self-contained Studio,21295271,Margaret,Christchurch City,Fendalton Ward,-43.51583,172.62082,Entire home/apt,115.0,1.0,637,2026-03-03,5.41,1,257,74,,2026-03
11535067,Delightful Sleep-out in Bryndwr,60851743,Marianne & John,Christchurch City,Fendalton Ward,-43.50298,172.5856,Entire home/apt,137.0,1.0,473,2026-03-16,3.87,1,337,55,,2026-03
11576486,Family friendly Eco Stay,30825105,Shaun And Vanessa,Christchurch City,Banks Peninsula Ward,-43.76331,172.80575,Entire home/apt,286.0,1.0,149,2026-02-13,1.46,2,337,22,,2026-02
11623658,Comfortable Sunny unit,60973927,Alice,Christchurch City,Heathcote Ward,-43.55609,172.64138,Entire home/apt,183.0,1.0,2,2025-10-12,0.05,1,233,1,,2025-10
11698497,Westmorland 3 bedroom Apartment,62170065,Maree,Christchurch City,Halswell Ward,-43.58115,172.59828,Entire home/apt,100.0,28.0,54,2025-04-14,0.44,1,111,1,,2025-04
11704236,Modern house close to city and parks,62214991,Zhen,Christchurch City,Fendalton Ward,-43.52177,172.60927,Private room,171.0,2.0,12,2025-02-22,0.1,1,88,0,,2025-02
11852621,"Spa pool with great views,  Lyttelton/Christchurch",55159216,Gregor,Christchurch City,Banks Peninsula Ward,-43.60254,172.72462,Entire home/apt,265.0,1.0,888,2026-03-05,7.49,1,321,76,,2026-03
11927990,Fabulous Reviews : Host of The Year Finalist 2022,16967897,Joan,Christchurch City,Riccarton Ward,-43.529441833496094,172.60879516601562,Entire home/apt,,2.0,223,2024-03-05,1.84,2,0,0,,2024-03
11976730,2 bed house near Beach + Cycleway 15min to CBD,64000316,Sue,Christchurch City,Heathcote Ward,-43.55985,172.73823,Private room,799.0,4.0,54,2026-02-27,0.45,1,270,3,,2026-02
12073907,Grassmere Estate  With Beautiful Tranquil Gardens,64702979,Kim And Mandy,Christchurch City,Papanui Ward,-43.49461,172.61691,Entire home/apt,262.0,1.0,250,2026-02-28,2.1,1,204,18,,2026-02
12156954,Spacious Guest Unit in Central City,19256013,Robyn,Christchurch City,Fendalton Ward,-43.51502,172.6111,Entire home/apt,190.0,3.0,41,2024-11-29,0.47,2,67,0,,2024-11
12231418,Cosy stand-alone studio - breakfast included,65811094,Anna,Christchurch City,Heathcote Ward,-43.55375,172.64607,Entire home/apt,108.0,1.0,497,2026-03-05,4.46,1,52,56,,2026-03
12363747,Cozy Self-Contained Studio with Beachside Charm,66691457,Tracy,Christchurch City,Coastal Ward,-43.48418,172.72136,Entire home/apt,177.0,1.0,57,2026-02-27,0.75,1,35,4,,2026-02
12527841,"Close to City, Shops and Transport",54012179,Bob,Christchurch City,Innes Ward,-43.50933,172.63953,Entire home/apt,186.0,2.0,99,2026-03-01,0.84,6,90,4,,2026-03
12613591,"Airport Studio, King bed. NO CLEANING  FEE.",67545571,Sharon,Christchurch City,Papanui Ward,-43.49814,172.59603,Entire home/apt,149.0,1.0,1518,2026-03-20,12.65,3,260,90,,2026-03
12907550,cozycozy guest house,22181030,Flora,Christchurch City,Hornby Ward,-43.53618,172.55261,Private room,97.0,1.0,10,2026-02-27,0.26,2,364,4,,2026-02
12957037,Freshly Renovated Studio Unit #3,50694865,Hotel,Christchurch City,Central Ward,-43.5214,172.62527,Entire home/apt,224.0,1.0,177,2025-12-06,1.5,11,344,1,,2025-12
13018855,Inner City Comfort,2836786,Karen,Christchurch City,Central Ward,-43.52794,172.64569,Private room,217.0,1.0,288,2026-03-11,2.42,1,353,22,,2026-03
13086620,Finca Flora Cottage,72625380,Kath,Christchurch City,Halswell Ward,-43.5928,172.5476,Entire home/apt,143.0,2.0,146,2026-03-15,1.23,1,339,13,,2026-03
13434509,"Coombe Farm, B&B, Akaroa, Banks Peninsula",33238586,Kathrine,Christchurch City,Banks Peninsula Ward,-43.78468,172.98529,Private room,286.0,1.0,163,2026-02-19,1.45,2,169,36,,2026-02
13548527,"""Home away from Home"" - warm, sunny, welcoming.",73257997,Keryn,Christchurch City,Spreydon Ward,-43.55942,172.61579,Entire home/apt,,1.0,189,2026-03-08,1.59,1,0,16,,2026-03
13589008,City-Fringe Oasis with Carpark in Christchurch,69693674,Ben,Christchurch City,Central Ward,-43.51453,172.65018,Entire home/apt,,3.0,40,2026-03-01,1.31,2,2,12,,2026-03
13632399,Private Queen Room Near City Centre,4606077,Tawny,Christchurch City,Innes Ward,-43.51567,172.64604,Private room,109.0,2.0,109,2026-02-28,0.92,2,233,7,,2026-02
13687446,Haven in Hillmorton,28035432,Cathie,Christchurch City,Spreydon Ward,-43.55469,172.59022,Entire home/apt,117.0,1.0,155,2026-03-16,1.72,1,158,34,,2026-03
13815512,3min walk to shops &10min drive to city +FreePark,81355264,Carolyn And Alan,Christchurch City,Cashmere Ward,-43.55765,172.65673,Entire home/apt,183.0,1.0,57,2026-03-04,2.92,1,247,29,,2026-03
13817933,The Black Hut,81390838,Perfect Stays,Christchurch City,Fendalton Ward,-43.51330185,172.6190033,Entire home/apt,100.0,28.0,125,2024-02-17,1.06,47,245,0,,2024-02
13847996,Christchurch Base,15484405,Clare,Christchurch City,Cashmere Ward,-43.57261,172.63826,Entire home/apt,292.0,3.0,95,2026-02-15,0.82,2,291,9,,2026-02
13926671,Cute apartment in great location,38806771,Martin,Christchurch City,Spreydon Ward,-43.54343,172.6181,Entire home/apt,158.0,6.0,89,2026-03-17,0.77,1,136,7,,2026-03
13927470,"Rossall BnB-Self cont. unit, bkfast, 2k city, keys",82731402,Rossall BnB,Christchurch City,Fendalton Ward,-43.51819,172.61528,Entire home/apt,183.0,1.0,358,2026-03-11,3.06,1,294,65,,2026-03
13961454,"Modern Home in Beautiful Bay,",82363146,Wendy,Christchurch City,Banks Peninsula Ward,-43.60556,172.69062,Private room,,1.0,8,2026-01-28,0.07,4,0,1,,2026-01
13962354,Cashmere Hills with Stunning Mountain Views,28378709,Angela,Christchurch City,Cashmere Ward,-43.57454,172.6285,Entire home/apt,183.0,2.0,178,2026-02-28,1.62,1,307,25,,2026-02
13979317,"Home, Land and Sea Adventure",83381954,Anji,Christchurch City,Banks Peninsula Ward,-43.60444,172.69045,Private room,143.0,1.0,143,2026-03-07,1.26,2,155,10,,2026-03
14044090,Double room near the beach in North New Brighton,52522304,Michael,Christchurch City,Coastal Ward,-43.50208,172.71265,Private room,47.0,7.0,20,2026-02-16,0.18,2,290,2,,2026-02
14185366,"Saxon Cottage, original 1880's Chch farm cottage",65165410,Helen,Christchurch City,Heathcote Ward,-43.55406,172.69765,Entire home/apt,,1.0,70,2026-02-22,0.94,2,60,1,,2026-02
14358140,"Five Star luxury for one, in the City Centre",88024294,Constantin,Christchurch City,Central Ward,-43.53095,172.62868,Private room,358.0,1.0,134,2025-02-15,1.15,2,333,0,,2025-02
14406415,Two bdrm house. Double/twin room. Garage parking,10986405,Punam,Christchurch City,Riccarton Ward,-43.531864,172.605331,Entire home/apt,156.0,3.0,83,2026-03-07,0.74,1,6,15,,2026-03
14491096,Newly Renovated Studio Unit #2,50694865,Hotel,Christchurch City,Fendalton Ward,-43.520267,172.626251,Entire home/apt,224.0,1.0,177,2026-02-08,1.52,11,359,1,,2026-02
14518648,"Large double bdroom, near Hagley Pk",37461451,Phil & Jo,Christchurch City,Fendalton Ward,-43.52303,172.60494,Private room,611.0,1.0,4,2019-12-22,0.04,1,364,0,,2019-12
14560927,Guests favourite. Close to Airport & University,85049190,Gail,Christchurch City,Waimairi Ward,-43.5166,172.55643,Entire home/apt,140.0,1.0,263,2026-03-20,3.41,1,308,102,,2026-03
14564035,"Sunny, Private Queen Room Near City Centre",4606077,Tawny,Christchurch City,Innes Ward,-43.51464,172.64726,Private room,97.0,2.0,73,2026-03-15,0.83,2,233,9,,2026-03
14635112,"Stand alone, ensuite - The Pool House",90859739,Lynn,Christchurch City,Linwood Ward,-43.54321,172.68812,Private room,183.0,1.0,446,2026-03-16,3.95,1,319,37,,2026-03
14702230,SiloStay - one of it's kind in the world,91435809,Rob,Christchurch City,Banks Peninsula Ward,-43.76857,172.79229,Entire home/apt,275.0,1.0,392,2026-03-14,3.44,1,363,41,,2026-03
14885987,Halfmoon Cottage at the head of Akaroa harbour.,93365561,Cor & Margo,Christchurch City,Banks Peninsula Ward,-43.75784,172.91221,Private room,153.0,1.0,244,2025-02-12,2.12,4,5,0,,2025-02
14937801,Back House of Papanui,50163342,Susie,Christchurch City,Papanui Ward,-43.49113,172.59717,Entire home/apt,252.0,2.0,270,2026-02-28,2.33,2,76,12,,2026-02
14981360,Hidden Gem - Homestay,94400943,Sharon,Christchurch City,Innes Ward,-43.4962,172.65997,Private room,194.0,1.0,4,2025-02-23,0.05,1,363,0,,2025-02
15100620,The Red Bus,95619739,Arielle,Christchurch City,Banks Peninsula Ward,-43.76101,172.79675,Entire home/apt,,1.0,538,2026-02-15,4.69,1,0,13,,2026-02
15113463,"NEW,stylish, contemporary New Zealand architecture",95753227,David Campbell,Christchurch City,Fendalton Ward,-43.51437377929688,172.62033081054688,Private room,212.0,1.0,101,2026-03-01,0.91,1,156,9,,2026-03
15186868,Private Garden Cabin - on airport bus route,20397105,Lesley,Christchurch City,Linwood Ward,-43.54337,172.66765,Entire home/apt,100.0,2.0,139,2026-03-12,1.22,1,166,12,,2026-03
15207542,"Breathtaking Ocean Views in Modern Comfort, Room 1",24026499,Lynne,Christchurch City,Heathcote Ward,-43.57053,172.72278,Private room,137.0,3.0,24,2026-03-08,0.25,2,246,7,,2026-03
15207638,"Breathtaking Ocean Views in Modern Comfort, Room 2",24026499,Lynne,Christchurch City,Heathcote Ward,-43.57138,172.72156,Private room,137.0,3.0,63,2026-03-02,0.58,2,156,5,,2026-03
15238281,Central City Bungalow,96878073,Deborah,Christchurch City,Central Ward,-43.520057678222656,172.64767456054688,Entire home/apt,150.0,1.0,122,2026-03-16,1.09,1,331,72,,2026-03
15240118,St James Mews- townhouse central to everything.,96897151,Sue,Christchurch City,Riccarton Ward,-43.53098,172.60669,Private room,112.0,1.0,260,2026-03-15,2.37,1,88,29,,2026-03
15315107,Luxury Moncks Bay B&B over looking the sea.,5778688,Catherine,Christchurch City,Heathcote Ward,-43.56741,172.74499,Private room,272.0,2.0,108,2026-03-10,1.07,1,261,5,,2026-03
15397099,"Kia OraãFormosa
ååãç¦ç¾æ©æ²",28327900,Andrei & June,Christchurch City,Cashmere Ward,-43.56204,172.61723,Private room,101.0,2.0,26,2026-03-07,0.27,1,226,8,,2026-03
15423628,A Slice of Paradise in the City,98854449,Marisa,Christchurch City,Cashmere Ward,-43.5623,172.63601,Entire home/apt,286.0,1.0,288,2026-03-21,2.52,1,12,39,,2026-03
